
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:61129        Puget-89256:0          LISTENING
  TCP    127.0.0.1:61129        Puget-89256:61183      ESTABLISHED
  TCP    127.0.0.1:61130        Puget-89256:0          LISTENING
  TCP    127.0.0.1:61130        Puget-89256:61143      ESTABLISHED
  TCP    127.0.0.1:61130        Puget-89256:61189      ESTABLISHED
  TCP    127.0.0.1:61131        Puget-89256:0          LISTENING
  TCP    127.0.0.1:61131        Puget-89256:61192      ESTABLISHED
  TCP    127.0.0.1:61132        Puget-89256:0          LISTENING
  TCP    127.0.0.1:61133        Puget-89256:0          LISTENING
  TCP    127.0.0.1:61133        Puget-89256:61140      ESTABLISHED
  TCP    127.0.0.1:61133        Puget-89256:61186      ESTABLISHED
  TCP    127.0.0.1:61134        Puget-89256:61135      ESTABLISHED
  TCP    127.0.0.1:61135        Puget-89256:61134      ESTABLISHED
  TCP    127.0.0.1:61136        Puget-89256:61137      ESTABLISHED
  TCP    127.0.0.1:61137        Puget-89256:61136      ESTABLISHED
  TCP    127.0.0.1:61138        Puget-89256:61139      ESTABLISHED
  TCP    127.0.0.1:61139        Puget-89256:61138      ESTABLISHED
  TCP    127.0.0.1:61140        Puget-89256:61133      ESTABLISHED
  TCP    127.0.0.1:61141        Puget-89256:61142      ESTABLISHED
  TCP    127.0.0.1:61142        Puget-89256:61141      ESTABLISHED
  TCP    127.0.0.1:61143        Puget-89256:61130      ESTABLISHED
  TCP    127.0.0.1:61148        Puget-89256:61149      ESTABLISHED
  TCP    127.0.0.1:61149        Puget-89256:61148      ESTABLISHED
  TCP    127.0.0.1:61150        Puget-89256:61151      ESTABLISHED
  TCP    127.0.0.1:61151        Puget-89256:61150      ESTABLISHED
  TCP    127.0.0.1:61152        Puget-89256:61153      ESTABLISHED
  TCP    127.0.0.1:61153        Puget-89256:61152      ESTABLISHED
  TCP    127.0.0.1:61154        Puget-89256:61155      ESTABLISHED
  TCP    127.0.0.1:61155        Puget-89256:61154      ESTABLISHED
  TCP    127.0.0.1:61156        Puget-89256:61157      ESTABLISHED
  TCP    127.0.0.1:61157        Puget-89256:61156      ESTABLISHED
  TCP    127.0.0.1:61158        Puget-89256:61159      ESTABLISHED
  TCP    127.0.0.1:61159        Puget-89256:61158      ESTABLISHED
  TCP    127.0.0.1:61160        Puget-89256:61161      ESTABLISHED
  TCP    127.0.0.1:61161        Puget-89256:61160      ESTABLISHED
  TCP    127.0.0.1:61162        Puget-89256:61163      ESTABLISHED
  TCP    127.0.0.1:61163        Puget-89256:61162      ESTABLISHED
  TCP    127.0.0.1:61164        Puget-89256:61165      ESTABLISHED
  TCP    127.0.0.1:61165        Puget-89256:61164      ESTABLISHED
  TCP    127.0.0.1:61166        Puget-89256:0          LISTENING
  TCP    127.0.0.1:61167        Puget-89256:61168      ESTABLISHED
  TCP    127.0.0.1:61168        Puget-89256:61167      ESTABLISHED
  TCP    127.0.0.1:61169        Puget-89256:61170      ESTABLISHED
  TCP    127.0.0.1:61170        Puget-89256:61169      ESTABLISHED
  TCP    127.0.0.1:61171        Puget-89256:61172      ESTABLISHED
  TCP    127.0.0.1:61172        Puget-89256:61171      ESTABLISHED
  TCP    127.0.0.1:61173        Puget-89256:61174      ESTABLISHED
  TCP    127.0.0.1:61174        Puget-89256:61173      ESTABLISHED
  TCP    127.0.0.1:61175        Puget-89256:61176      ESTABLISHED
  TCP    127.0.0.1:61176        Puget-89256:61175      ESTABLISHED
  TCP    127.0.0.1:61177        Puget-89256:61178      ESTABLISHED
  TCP    127.0.0.1:61178        Puget-89256:61177      ESTABLISHED
  TCP    127.0.0.1:61179        Puget-89256:61180      ESTABLISHED
  TCP    127.0.0.1:61180        Puget-89256:61179      ESTABLISHED
  TCP    127.0.0.1:61181        Puget-89256:61182      ESTABLISHED
  TCP    127.0.0.1:61182        Puget-89256:61181      ESTABLISHED
  TCP    127.0.0.1:61183        Puget-89256:61129      ESTABLISHED
